"gene","coefficient","Non-unique Gene name","Annotation"
"group_9324",2.50413456803286,"","hypothetical protein"
"group_2513",1.65595645691434,"","IS256 family transposase IS406"
"hdfR_2",1.57986314178545,"hdfR_2","HTH-type transcriptional regulator HdfR"
"xerD_1~~~xerD_2~~~xerC_1",1.20785609524119,"xerD_1;xerD_2;xerC_1","Tyrosine recombinase XerD;Tyrosine recombinase XerC"
"group_14602",1.17728447403797,"fdtB","dTDP-3-amino-36-dideoxy-alpha-D-galactopyranose transaminase"
"emrE_3~~~emrE_1~~~ebrA~~~emrE_2~~~mdtJ_2~~~qacC",1.01886973179846,"emrE_3;;emrE_1;ebrA;emrE_2;mdtJ_2;qacC","Multidrug transporter EmrE;hypothetical protein;Multidrug resistance protein EbrA;Spermidine export protein MdtJ;Quaternary ammonium compound-resistance protein QacC"
"group_4043",0.956017930656439,"","hypothetical protein"
"group_26802",0.937316390861532,"","hypothetical protein"
"group_9351",0.880411501209376,"mucR","Bifunctional diguanylate cyclase/cyclic di-GMP phosphodiesterase MucR"
"tmrB",0.863819490094576,"tmrB;","Tunicamycin resistance protein;hypothetical protein"
"group_27460",0.805914541886115,"","hypothetical protein"
"group_1884",0.764428199858824,"","hypothetical protein"
"group_33582",0.761279943368411,"","hypothetical protein;IS110 family transposase ISKpn42"
"tnpR",0.741702304540149,"tnpR;","Transposon Tn3 resolvase;hypothetical protein"
"group_5928",0.715079702833481,"","IS3 family transposase IS1133;hypothetical protein"
"group_304",0.687859662318068,"","hypothetical protein"
"group_302",0.599392846196899,"","hypothetical protein"
"group_24919",0.55986287331133,"","hypothetical protein"
"tnpR~~~tnpR_2",0.548374749611971,"tnpR;tnpR_2","Transposon Tn3 resolvase;Transposon gamma-delta resolvase"
"group_2309",0.483429243975103,"","hypothetical protein"
"group_27888",0.429134896409594,"","hypothetical protein"
"group_3374",0.42659218320261,"","hypothetical protein"
"group_29510",0.409838416438101,"","hypothetical protein"
"group_9177",0.388921969343997,"","hypothetical protein"
"group_17085",0.370613879507176,"","Tn3 family transposase ISPsy42"
"group_4335",0.340575738385369,"","hypothetical protein"
"group_1462",0.324187437285238,"","hypothetical protein"
"group_35166",0.306085777351813,"","hypothetical protein"
"group_6169",0.301292168243957,"","hypothetical protein"
"group_15689",0.278882520257355,"","hypothetical protein"
"group_12832",0.274479527664836,"","hypothetical protein"
"xerC_5~~~xerC_4",0.273923068852682,"xerC_5;xerC_4","Tyrosine recombinase XerC"
"emrE_1~~~emrE_2~~~qacC~~~emrE_3",0.234087799096109,"emrE_1;emrE_2;qacC;emrE_3","Multidrug transporter EmrE;Quaternary ammonium compound-resistance protein QacC"
"emrE_2~~~emrE_1~~~qacC~~~emrE_3",0.232500976751707,"emrE_2;emrE_1;qacC;emrE_3","Multidrug transporter EmrE;Quaternary ammonium compound-resistance protein QacC"
"xerD_2~~~xerC_4",0.215190008384462,"xerD_2;xerC_4;","Tyrosine recombinase XerD;Tyrosine recombinase XerC;hypothetical protein"
"tnpR~~~tnpR_3~~~tnpR_1",0.197433209546909,"tnpR;tnpR_3;tnpR_1","Transposon gamma-delta resolvase;Transposon Tn3 resolvase"
"ugpB_2",0.173622001975962,"ugpB_2","sn-glycerol-3-phosphate-binding periplasmic protein UgpB"
"merT~~~merT_1",0.14948130389988,"merT;merT_1","Mercuric transport protein MerT"
"pemK_2~~~pemK~~~pemK_1",0.141404945449443,"pemK_2;pemK;pemK_1","Endoribonuclease PemK"
"group_23598",0.0985751047416908,"","hypothetical protein"
"group_7509",0.0815859220236601,"deoR_2","Deoxyribose operon repressor"
"group_3755",0.0742794264751168,"","hypothetical protein"
"hin_3~~~hin_2~~~hin_5~~~hin~~~hin_1~~~hin_7",0.0616232897260184,"hin_3;hin_2;;hin_5;hin;hin_1;hin_7","DNA-invertase hin;hypothetical protein"
"group_4047",0.0310849479397046,"","hypothetical protein"
"group_5581",0.0307115958562774,"","hypothetical protein"
"cusF_2~~~cusF_1~~~cusF",0.0168654121522644,"cusF_2;cusF_1;cusF","Cation efflux system protein CusF"
"mcpQ~~~aer_2~~~ctpM~~~aer~~~aer_1~~~aer_3",0.0165175335220238,";mcpQ;aer_2;ctpM;aer;aer_1;aer_3","hypothetical protein;Methyl-accepting chemotaxis protein McpQ;Methyl-accepting chemotaxis protein Aer;Methyl-accepting chemotaxis protein CtpM;IS66 family transposase ISPsy43"
"hpf_1~~~yfeA~~~hpf_2~~~hpf_3",0.00856921597194889,"hpf_1;yfeA;;hpf_2;hpf_3","Putative metal ABC transporter substrate-binding protein Hpf;Iron-binding protein YfeA;hypothetical protein"
"group_4344",0.0059105264554848,"","Transcriptional regulator"
"group_28361",0.00439792043162524,"","hypothetical protein"
"group_24918",1.19268487818267e-15,"","hypothetical protein"
"group_14597",4.33615434568229e-16,"fdtA","TDP-4-oxo-6-deoxy-alpha-D-glucose-34-oxoisomerase"
