"gene","importance","Non-unique Gene name","Annotation"
"group_10143",0.00363490662169075,"","hypothetical protein"
"group_9177",0.00308561718152145,"","hypothetical protein"
"group_30072",0.00277669459557972,"","hypothetical protein;IS6 family transposase IS6100"
"group_4344",0.00252435387419858,"","Transcriptional regulator"
"group_9324",0.00238397141438729,"","hypothetical protein"
"emrE_3~~~emrE_1~~~ebrA~~~emrE_2~~~mdtJ_2~~~qacC",0.00234877426381219,"emrE_3;;emrE_1;ebrA;emrE_2;mdtJ_2;qacC","Multidrug transporter EmrE;hypothetical protein;Multidrug resistance protein EbrA;Spermidine export protein MdtJ;Quaternary ammonium compound-resistance protein QacC"
"group_6051",0.00202401741980629,"","hypothetical protein;IS110 family transposase ISEc45"
"group_9351",0.00190963402172661,"mucR","Bifunctional diguanylate cyclase/cyclic di-GMP phosphodiesterase MucR"
"rrrD_1~~~rrrD_2~~~rrrD_7~~~rrrD_3~~~rrrD_4",0.00190677793341221,"rrrD_1;rrrD_2;rrrD_7;rrrD_3;rrrD_4;","Lysozyme RrrD;hypothetical protein"
"merP",0.00180197399769944,"merP;","Mercuric transport protein periplasmic component;hypothetical protein"
"merT~~~merT_1",0.00170828539542289,"merT;merT_1","Mercuric transport protein MerT"
"yegI_1~~~yegI_2~~~yegI",0.00151117373605081,"yegI_1;yegI_2;;yegI","Protein kinase YegI;hypothetical protein"
"emrE_1~~~emrE_2~~~qacC~~~emrE_3",0.00142311228584013,"emrE_1;emrE_2;qacC;emrE_3","Multidrug transporter EmrE;Quaternary ammonium compound-resistance protein QacC"
"xerD_1~~~xerD_2~~~xerC_1",0.00139921004328125,"xerD_1;xerD_2;xerC_1","Tyrosine recombinase XerD;Tyrosine recombinase XerC"
"group_6409",0.00136412744202707,"","hypothetical protein"
"group_30073",0.00131396220282121,"","hypothetical protein"
"group_33522",0.00131242999732106,"","hypothetical protein"
"lolD_3",0.00129618370669315,";lolD_3","hypothetical protein;Lipoprotein-releasing system ATP-binding protein LolD"
"group_2513",0.00123773062062127,"","IS256 family transposase IS406"
"group_9850",0.0012293970003352,"","hypothetical protein"
"group_9276",0.00120879059234702,"","hypothetical protein"
"traS~~~traS_1",0.00117858689044137,"traS;traS_1","Protein TraS"
"group_8674",0.00108013177256128,"","hypothetical protein"
"tnpR",0.00107830782044505,"tnpR;","Transposon Tn3 resolvase;hypothetical protein"
"cusF_2~~~cusF_1~~~cusF",0.00105179444286141,"cusF_2;cusF_1;cusF","Cation efflux system protein CusF"
"traA~~~traA_2",0.0010109721215853,"traA;traA_2","Pilin"
"group_302",0.00100779920561889,"","hypothetical protein"
"xerC_3~~~xerD_3~~~xerC_1~~~xerC_5~~~xerC_6~~~xerC_2",0.00100660923299234,";xerC_3;xerD_3;xerC_1;xerC_5;xerC_6;xerC_2","hypothetical protein;Tyrosine recombinase XerC;Tyrosine recombinase XerD"
"pinR_1~~~hin_2~~~pinR~~~bin3~~~hin_5~~~hin_4~~~hin~~~hin_1~~~hin_3",0.000997340485348164,"pinR_1;hin_2;;pinR;bin3;hin_5;hin_4;hin;hin_1;hin_3","Serine recombinase PinR;DNA-invertase hin;hypothetical protein;Putative transposon Tn552 DNA-invertase bin3"
"group_10045",0.000987593924364427,"","hypothetical protein"
"cbtA_2~~~cbtA_1~~~cbtA_3~~~cbtA~~~cbtA_4",0.000977381814532441,"cbtA_2;cbtA_1;cbtA_3;cbtA;cbtA_4","Cytoskeleton-binding toxin CbtA"
"group_2696",0.000975915643122272,"","hypothetical protein"
"group_7509",0.000959758182861203,"deoR_2","Deoxyribose operon repressor"
"hsdRM",0.00095732572820495,"hsdRM","Type II methyltransferase M.BsuRI"
"group_9750",0.000956383812681816,"","hypothetical protein"
"silE_2~~~silE~~~silE_3",0.000954983506915807,"silE_2;silE;silE_3","Silver-binding protein SilE"
"aidA_2~~~icsA_2~~~icsA_1",0.000933755002088477,"aidA_2;icsA_2;icsA_1;","Autotransporter adhesin AIDA-I;Outer membrane autotransporter IcsA;hypothetical protein"
"group_34641",0.000928450564373962,"","hypothetical protein"
"group_4449",0.00092271206248784,"","hypothetical protein"
"group_4342",0.000919378285475503,"","hypothetical protein"
"group_493",0.000919378285475503,"","hypothetical protein"
"group_655",0.000909381777818075,"","ISAs1 family transposase ISEc5"
"group_10065",0.000906424958780794,"","hypothetical protein"
"group_118",0.000906097343064793,"","hypothetical protein"
"group_1115",0.0008975894724913,"","hypothetical protein;IS1 family transposase IS1X2;IS1 family transposase IS1F;IS1 family transposase IS1A"
"group_4088",0.000885752071909551,"","hypothetical protein"
"group_30513",0.000884227658543013,"","IS6 family transposase IS15DII;hypothetical protein;IS6 family transposase IS26"
"group_9111",0.000880330146227348,"","hypothetical protein"
"group_4043",0.000879884165787215,"","hypothetical protein"
"cusS_4~~~cusS_2~~~silS~~~cusS_3",0.000869040948723088,"cusS_4;cusS_2;silS;cusS_3","Sensor histidine kinase CusS;copper/silver sensor histidine kinase SilS"
"group_4821",0.000860604417212807,"","hypothetical protein"
"group_8387",0.000859016817428948,"uup_2","ATP-binding protein Uup"
"group_5785",0.000852206172762382,"","hypothetical protein"
"group_10273",0.000844922867250464,"traQ","Protein TraQ"
"group_9006",0.000844922867250464,"","hypothetical protein"
"lutP~~~lutP_1~~~glcA",0.000844922867250464,";lutP;lutP_1;glcA","hypothetical protein;L-lactate permease;Glycolate permease GlcA"
"group_896",0.00083129903492063,"","hypothetical protein"
"group_9026",0.000826992742540611,"","hypothetical protein"
"group_7176",0.00082499382810608,"","hypothetical protein"
"group_1568",0.000822914167072697,"","hypothetical protein"
"glgM",0.000807373472247352,"glgM","Alpha-maltose-1-phosphate synthase"
"group_8239",0.000803184666143708,"","hypothetical protein"
"group_9051",0.000803051824149859,"","hypothetical protein"
"group_32639",0.000791765601001027,"","hypothetical protein"
"group_10415",0.00078959497611919,"","hypothetical protein"
"casE",0.000788544864979146,";casE","hypothetical protein;CRISPR system Cascade subunit CasE"
"group_5292",0.000788004980221024,"","hypothetical protein"
