"gene","importance","Non-unique Gene name","Annotation"
"group_9324",0.00555092805863144,"","hypothetical protein"
"hdfR_2",0.00311461028273182,"hdfR_2","HTH-type transcriptional regulator HdfR"
"group_9351",0.00266946841012992,"mucR","Bifunctional diguanylate cyclase/cyclic di-GMP phosphodiesterase MucR"
"emrE_3~~~emrE_1~~~ebrA~~~emrE_2~~~mdtJ_2~~~qacC",0.00249965726298345,"emrE_3;;emrE_1;ebrA;emrE_2;mdtJ_2;qacC","Multidrug transporter EmrE;hypothetical protein;Multidrug resistance protein EbrA;Spermidine export protein MdtJ;Quaternary ammonium compound-resistance protein QacC"
"mucR",0.00239743775782021,"mucR;","Bifunctional diguanylate cyclase/cyclic di-GMP phosphodiesterase MucR;hypothetical protein"
"tmrB",0.00229125780497934,"tmrB;","Tunicamycin resistance protein;hypothetical protein"
"group_4932",0.00221813102350861,"","hypothetical protein"
"group_27460",0.00219987187601733,"","hypothetical protein"
"group_10143",0.00206937761605091,"","hypothetical protein"
"merT~~~merT_1",0.00202312399417559,"merT;merT_1","Mercuric transport protein MerT"
"group_4344",0.00189990658913899,"","Transcriptional regulator"
"group_9177",0.0018445245429701,"","hypothetical protein"
"merP",0.00169435334356439,"merP;","Mercuric transport protein periplasmic component;hypothetical protein"
"group_2516",0.00164799831653913,"","hypothetical protein"
"pinR_1~~~hin_2~~~pinR~~~bin3~~~hin_5~~~hin_4~~~hin~~~hin_1~~~hin_3",0.00152193287531774,"pinR_1;hin_2;;pinR;bin3;hin_5;hin_4;hin;hin_1;hin_3","Serine recombinase PinR;DNA-invertase hin;hypothetical protein;Putative transposon Tn552 DNA-invertase bin3"
"group_302",0.0014736333053547,"","hypothetical protein"
"tnpR",0.00146419034665426,"tnpR;","Transposon Tn3 resolvase;hypothetical protein"
"group_2513",0.00142426815289125,"","IS256 family transposase IS406"
"group_6169",0.00135510412275936,"","hypothetical protein"
"merR",0.00128600658789128,"merR;","Mercuric resistance operon regulatory protein;ISL3 family transposase ISStma11;hypothetical protein"
"pemK_2~~~pemK~~~pemK_1",0.00121446602696571,"pemK_2;pemK;pemK_1","Endoribonuclease PemK"
"group_8674",0.00118670206271946,"","hypothetical protein"
"emrE_2~~~emrE_1~~~qacC~~~emrE_3",0.00117324263069032,"emrE_2;emrE_1;qacC;emrE_3","Multidrug transporter EmrE;Quaternary ammonium compound-resistance protein QacC"
"kdsr_1~~~kdsr",0.00114422818167173,"kdsr_1;;kdsr","3-ketodihydrosphingosine reductase;hypothetical protein"
"group_30072",0.0010285998547647,"","hypothetical protein;IS6 family transposase IS6100"
"group_4043",0.0010222643015678,"","hypothetical protein"
"group_5609",0.000914875842791431,"","hypothetical protein;IS91 family transposase ISVsa3"
"emrE_1~~~emrE_2~~~qacC~~~emrE_3",0.000910271248867359,"emrE_1;emrE_2;qacC;emrE_3","Multidrug transporter EmrE;Quaternary ammonium compound-resistance protein QacC"
"group_30073",0.00086965332038355,"","hypothetical protein"
"group_1462",0.000725082253361691,"","hypothetical protein"
"group_304",0.000673889470914101,"","hypothetical protein"
"sopB~~~sopB_1",0.000639912940627225,"sopB;sopB_1","Protein SopB"
"pemI_2~~~pemI~~~pemI_1",0.000588061302363436,"pemI_2;pemI;pemI_1","Antitoxin PemI"
"tamB_1~~~tamB~~~tamB_2~~~tamB_5",0.000584719015161588,"tamB_1;tamB;tamB_2;tamB_5;","Translocation and assembly module subunit TamB;hypothetical protein"
"group_6510",0.000512962248096465,"","hypothetical protein"
"ngcG",0.000504774818964988,";ngcG","hypothetical protein;Diacetylchitobiose uptake system permease protein NgcG"
"group_8597",0.000500338958035097,"","hypothetical protein"
"group_1425",0.000476413896477649,"","IS21 family transposase IS1326"
"group_4335",0.000447293972290951,"","hypothetical protein"
"group_27445",0.000423585115683915,"","hypothetical protein"
"mntB_6~~~mntB_2~~~mntB_4~~~mntB_3",0.000413735691571273,";mntB_6;mntB_2;mntB_4;mntB_3","hypothetical protein;Manganese transport system membrane protein MntB"
"group_29763",0.000409700328487827,"","hypothetical protein"
"group_8306",0.000401546787452829,"","hypothetical protein"
"dapA_2~~~yjhH_2~~~yjhH",0.000398997789185667,"dapA_2;yjhH_2;yjhH","4-hydroxy-tetrahydrodipicolinate synthase;putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH"
"group_28324",0.000393651686216649,"","hypothetical protein"
"tnpR~~~tnpR_3~~~tnpR_1",0.000393397115885281,"tnpR;tnpR_3;tnpR_1","Transposon gamma-delta resolvase;Transposon Tn3 resolvase"
"gpdQ",0.000385025571007177,";gpdQ","hypothetical protein;Glycerophosphodiester phosphodiesterase GpdQ"
"group_3374",0.000383734439274964,"","hypothetical protein"
"group_5581",0.000382389249762192,"","hypothetical protein"
"rhmR",0.000351167509843557,";rhmR","hypothetical protein;putative HTH-type transcriptional regulator RhmR"
"group_30684",0.000341544799557891,"","hypothetical protein"
"ugpB_2",0.000336507207607793,"ugpB_2","sn-glycerol-3-phosphate-binding periplasmic protein UgpB"
"group_6409",0.000327177535599124,"","hypothetical protein"
"group_30773",0.000324678544155326,"","hypothetical protein"
"group_5839",0.000323146353366329,"","hypothetical protein"
"xerD_2~~~xerC_4",0.0003194673604496,"xerD_2;xerC_4;","Tyrosine recombinase XerD;Tyrosine recombinase XerC;hypothetical protein"
"ugpC_2~~~msiK",0.000315448713821977,"ugpC_2;;msiK","sn-glycerol-3-phosphate import ATP-binding protein UgpC;hypothetical protein;Diacetylchitobiose uptake system ATP-binding protein MsiK"
"hpf_1~~~yfeA~~~hpf_2~~~hpf_3",0.000309198301896782,"hpf_1;yfeA;;hpf_2;hpf_3","Putative metal ABC transporter substrate-binding protein Hpf;Iron-binding protein YfeA;hypothetical protein"
"group_10071",0.000301077625692991,"","hypothetical protein"
"group_10793",0.000292149808613658,";lolD_3","hypothetical protein;Lipoprotein-releasing system ATP-binding protein LolD;putative ABC transporter ATP-binding protein"
"group_10788",0.000272427563364519,"","hypothetical protein"
"group_27697",0.000271089447195888,"","hypothetical protein"
"ahr_2",0.000270904406988963,"ahr_2","Aldehyde reductase Ahr"
"group_1884",0.000270895567355807,"","hypothetical protein"
"group_33877",0.000261755656279576,"","hypothetical protein"
"group_28059",0.000256417642550702,"","hypothetical protein"
"group_7720",0.000253648299169455,"","hypothetical protein"
